"index ","country ","cases ","deaths ","serious ","critical ","recovered ","mystery "
"1","","","","","","",""
"2","CASES","","","","","",""
"3","75","2","","2","","",""
"4","","","","","","",""
"5","AUSTRALIA","","","","","",""
"6","New South Wales","36","1","","","","Source"
"7","Queensland","15","","","","",""
"8","Victoria","11","","","","","Source"
"9","South Australia","7","0","","","1","Source"
"10","Western Australia","3","1","","","1","Source"
"11","Northern Territory","1","0","","","","Source"
"12","Tasmania","2","0","0","0","0","Source"
"13","External territories","0","0","0","0","0",""
"14","Jervis Bay Territory","0","0","0","0","0",""
"15","Canberra (ACT)","0","0","0","0","0","-"
"16","TOTAL","75","2","0","0","2",""
"17","","","","","","",""
