"index ","country ","cases ","deaths ","serious ","critical ","recovered ","mystery ",""
"1","","","","","","","",""
"2","CASES","","","","","","",""
"3","80,833","3,199","","66,881","","","",""
"4","","","","","","","",""
"5","MAINLAND CHINA","","","","","","",""
"6","Hubei province (includes Wuhan)","67,794","3,085","3,163","","54,278","Source",""
"7","Guangdong province","1,357","8","4","13","1,303","Source",""
"8","Henan province","1,272","22","0","0","1,250","Source",""
"9","Zhejiang province","1,231","1","1","1","1,211","Source",""
"10","Hunan province","1,018","4","0","0","1,014","Source",""
"11","Beijing","437","8","","","349","Source",""
"12","Shanghai","350","3","8","1","324","Source",""
"13","Other regions","7,374","68","","","7,152","Source",""
"14","TOTAL","80,833","3,199","3,610","","66,881","",""
"15","","","","","","","",""
