"index ","country ","cases ","deaths ","serious ","critical ","recovered ","mystery "
"1","Última actualización: 11 de Marzo de 2020 a las 7:40 p.m. (hora del centro)","","","","","",""
"2","CASOS","","","","","",""
"3","2,499","57","","4","","",""
"4","","","","","","",""
"5","Mundo Hispano","","","","","","Fuente"
"6","España","2,277","55","","","","Fuente"
"7","Brasil","69","0","1","","","Fuente"
"8","Chile","23","0","","","","Fuente"
"9","Costa Rica","22","0","","","","Fuente"
"10","Argentina","21","1","","","","Fuente"
"11","Ecuador","17","0","","","","Fuente"
"12","Peru","17","0","","","","Fuente"
"13","Panamá","14","1","","","","Fuente"
"14","México","13","0","1","","4","Fuente"
"15","Colombia","9","0","","","","Fuente"
"16","Rep. Dominicana","5","0","","","","Fuente"
"17","Paraguay","5","0","1","","","Fuente"
"18","Cuba","3","0","","","","Fuente"
"19","Bolivia","2","0","","","","Fuente"
"20","Honduras","2","0","","","","Fuente"
"21","TOTAL","2,499","57","2","0","4",""
