"index ","country ","cases ","deaths ","serious ","critical ","recovered ","mystery ",""
"1","This table is currently being updated","","","","","","",""
"2","CASES","","","","","","",""
"3","2,808","57","","8","","","",""
"4","","","","","","","",""
"5","UNITED STATES","","","","","","Links",""
"6","Washington","642","40","","","1","Source",""
"7","New York","613","1","","","","Source",""
"8","California","247","5","","1","1","Source",""
"9","Massachusetts","138","0","","","","Source",""
"10","Colorado","101","1","","","","Source",""
"11","Florida","83","4","","","","Source",""
"12","Louisiana","77","1","","","","Source",""
"13","New Jersey","69","2","","","","Source",""
"14","Georgia","66","1","","","","Source",""
"15","Illinois","64","0","","","2","Source",""
"16","Texas","51","0","","1","","Source",""
"17","Diamond Princess","46","0","","","2","Source",""
"18","Pennsylvania","45","0","","1","","Source",""
"19","Virginia","41","0","","","","Source",""
"20","Oregon","36","0","","","","Source",""
"21","Tennessee","32","0","","","","Source",""
"22","Wisconsin","27","0","","","1","Source",""
"23","Maryland","26","0","","","0","Source",""
"24","Ohio","26","0","","","","Source",""
"25","Michigan","25","0","","","","Source",""
"26","North Carolina","23","0","","","","Source",""
"27","Grand Princess","21","0","","","","Source",""
"28","Nevada","21","0","","","","Source",""
"29","Minnesota","21","0","","1","","Source",""
"30","Rhode Island","20","0","","","","Source",""
"31","Connecticut","20","0","","","","Source",""
"32","South Carolina","19","0","","","","Source",""
"33","Iowa","18","0","","","","Source",""
"34","Kentucky","16","0","","","","Source",""
"35","Nebraska","16","0","","","","Source",""
"36","District of Columbia","16","0","","","","Source",""
"37","Indiana","15","0","","","","Source",""
"38","New Mexico","13","0","","","","Source",""
"39","Arizona","12","0","","","1","Source",""
"40","Arkansas","12","0","","","","Source",""
"41","Utah","9","0","","","","Source",""
"42","South Dakota","9","1","","","","Source",""
"43","New Hampshire","7","0","","","","Source",""
"44","Mississippi","6","0","","","","Source",""
"45","Kansas","6","1","","","","Source",""
"46","Delaware","6","0","","","","Source",""
"47","Montana","6","0","","","","Source",""
"48","Alabama","5","0","","","","Source",""
"49","Oklahoma","4","0","","","","Source",""
"50","Missouri","4","0","","","","Source",""
"51","Puerto Rico","4","0","","","","Source",""
"52","Hawaii","4","0","","","","Source",""
"53","Vermont","4","0","","","","Source",""
"54","Wuhan","3","0","","","","",""
"55","Maine","3","0","","","","Source",""
"56","Wyoming","3","0","","","","Source",""
"57","Alaska","1","0","","","","Source",""
"58","U.S. Virgin Islands","1","0","","","","Source",""
"59","Idaho","4","0","","","","Source",""
"60","North Dakota","1","0","","","","Source",""
"61","West Virginia","0","0","","","","",""
"62","American Samoa","0","0","","","","",""
"63","Guam","0","0","","","","",""
"64","Northern Mariana Islands","0","0","","","","",""
"65","U.S. TOTAL","2,808","57","0","4","8","",""
